,,
State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
02,000,Hooper Bay city
02,000,Houston city
02,000,Hughes city
02,000,Huslia city
02,000,Hydaburg city
02,000,Juneau city and borough
02,000,Kachemak city
02,000,Kake city
02,000,Kaktovik city
02,000,Kaltag city
02,000,Kasaan city
02,000,Kenai city
02,000,Ketchikan city
02,000,Kiana city
02,000,King Cove city
02,000,Kivalina city
02,000,Klawock city
02,000,Kobuk city
02,000,Kodiak city
02,000,Kotlik city
02,000,Kotzebue city
02,000,Koyuk city
02,000,Koyukuk city
02,000,Kupreanof city
02,000,Kwethluk city
02,000,Larsen Bay city
02,000,Lower Kalskag city
02,000,McGrath city
02,000,Manokotak city
02,000,Marshall city
02,000,Mekoryuk city
02,000,Mountain Village city
02,000,Napakiak city
02,000,Napaskiak city
02,000,Nenana city
02,000,Newhalen city
02,000,New Stuyahok city
02,000,Nightmute city
02,000,Nikolai city
02,000,Nome city
02,000,Nondalton city
02,000,Noorvik city
02,000,North Pole city
02,000,Nuiqsut city
02,000,Nulato city
02,000,Nunam Iqua city
02,000,Nunapitchuk city
02,000,Old Harbor city
02,000,Ouzinkie city
02,000,Palmer city
02,000,Pelican city
02,000,Pilot Point city
02,000,Pilot Station city
02,000,Platinum city
02,000,Point Hope city
02,000,Port Alexander city
02,000,Port Heiden city
02,000,Port Lions city
02,000,Quinhagak city
02,000,Ruby city
02,000,Russian Mission city
02,000,St. George city
02,000,St. Mary's city
02,000,St. Michael city
02,000,St. Paul city
02,000,Sand Point city
02,000,Savoonga city
02,000,Saxman city
02,000,Scammon Bay city
02,000,Selawik city
02,000,Seldovia city
02,000,Seward city
02,000,Shageluk city
02,000,Shaktoolik city
02,000,Shishmaref city
02,000,Shungnak city
02,000,Sitka city and borough
02,000,Soldotna city
02,000,Stebbins city
02,000,Tanana city
02,000,Teller city
02,000,Tenakee Springs city
02,000,Thorne Bay city
02,000,Togiak city
02,000,Toksook Bay city
02,000,Unalakleet city
02,000,Unalaska city
02,000,Upper Kalskag city
02,000,Valdez city
02,000,Wainwright city
02,000,Wales city
02,000,Wasilla city
02,000,White Mountain city
02,000,Whittier city
02,000,Wrangell city and borough
04,000,Arizona
04,001,Apache County
04,003,Cochise County
04,005,Coconino County
04,007,Gila County
04,009,Graham County
04,011,Greenlee County
04,012,La Paz County
04,013,Maricopa County
04,015,Mohave County
04,017,Navajo County
04,019,Pima County
04,021,Pinal County
04,023,Santa Cruz County
04,025,Yavapai County
04,027,Yuma County
04,000,Apache Junction city
04,000,Avondale city
04,000,Benson city
04,000,Bisbee city
04,000,Buckeye city
04,000,Bullhead City city
04,000,Camp Verde town
04,000,Carefree town
04,000,Casa Grande city
04,000,Cave Creek town
04,000,Chandler city
04,000,Chino Valley town
04,000,Clarkdale town
04,000,Clifton town
04,000,Colorado City town
04,000,Coolidge city
04,000,Cottonwood city
04,000,Dewey-Humboldt town
04,000,Douglas city
04,000,Duncan town
04,000,Eagar town
04,000,El Mirage city
04,000,Eloy city
04,000,Flagstaff city
04,000,Florence town
04,000,Fountain Hills town
04,000,Fredonia town
04,000,Gila Bend town
04,000,Gilbert town
04,000,Glendale city
04,000,Globe city
04,000,Goodyear city
04,000,Guadalupe town
04,000,Hayden town
04,000,Holbrook city
04,000,Huachuca City town
04,000,Jerome town
04,000,Kearny town
04,000,Kingman city
04,000,Lake Havasu City city
04,000,Litchfield Park city
04,000,Mammoth town
04,000,Marana town
04,000,Maricopa city
